date,subsite,week,tide,SurveyID,count,area
12/03/2017,1,10,low,10_low,14,3.26
12/03/2017,2,10,low,10_low,0,3.49
12/03/2017,3,10,low,10_low,0,4.47
12/03/2017,4,10,low,10_low,0,2.34
12/03/2017,5,10,low,10_low,0,1.65
12/03/2017,6,10,low,10_low,0,0.83
20/03/2017,1,12,low,12_low,0,3.26
20/03/2017,2,12,low,12_low,38,3.49
20/03/2017,3,12,low,12_low,0,4.47
20/03/2017,4,12,low,12_low,0,2.34
20/03/2017,5,12,low,12_low,0,1.65
20/03/2017,6,12,low,12_low,0,0.83
21/03/2017,1,12,rising,12_rising,31,3.26
21/03/2017,2,12,rising,12_rising,0,3.49
21/03/2017,3,12,rising,12_rising,0,4.47
21/03/2017,4,12,rising,12_rising,0,2.34
21/03/2017,5,12,rising,12_rising,0,1.65
21/03/2017,6,12,rising,12_rising,0,0.83
27/03/2017,1,13,low,13_low,2,3.26
27/03/2017,2,13,low,13_low,33,3.49
27/03/2017,3,13,low,13_low,0,4.47
27/03/2017,4,13,low,13_low,16,2.34
27/03/2017,5,13,low,13_low,59,1.65
27/03/2017,6,13,low,13_low,0,0.83
28/03/2017,1,13,rising,13_rising,2,3.26
28/03/2017,2,13,rising,13_rising,137,3.49
28/03/2017,3,13,rising,13_rising,24,4.47
28/03/2017,4,13,rising,13_rising,14,2.34
28/03/2017,5,13,rising,13_rising,0,1.65
28/03/2017,6,13,rising,13_rising,0,0.83
03/04/2017,1,14,low,14_low,39,3.26
03/04/2017,2,14,low,14_low,189,3.49
03/04/2017,3,14,low,14_low,8,4.47
03/04/2017,4,14,low,14_low,2,2.34
03/04/2017,5,14,low,14_low,15,1.65
03/04/2017,6,14,low,14_low,0,0.83
04/04/2017,1,14,rising,14_rising,88,3.26
04/04/2017,2,14,rising,14_rising,124,3.49
04/04/2017,3,14,rising,14_rising,0,4.47
04/04/2017,4,14,rising,14_rising,1,2.34
04/04/2017,5,14,rising,14_rising,23,1.65
04/04/2017,6,14,rising,14_rising,0,0.83
11/04/2017,1,15,rising,15_rising,53,3.26
11/04/2017,2,15,rising,15_rising,176,3.49
11/04/2017,3,15,rising,15_rising,20,4.47
11/04/2017,4,15,rising,15_rising,6,2.34
11/04/2017,5,15,rising,15_rising,0,1.65
11/04/2017,6,15,rising,15_rising,0,0.83
12/04/2017,1,15,low,15_low,14,3.26
12/04/2017,2,15,low,15_low,196,3.49
12/04/2017,3,15,low,15_low,0,4.47
12/04/2017,4,15,low,15_low,0,2.34
12/04/2017,5,15,low,15_low,0,1.65
12/04/2017,6,15,low,15_low,0,0.83
17/04/2017,1,16,rising,16_rising,53,3.26
17/04/2017,2,16,rising,16_rising,136,3.49
17/04/2017,3,16,rising,16_rising,2,4.47
17/04/2017,4,16,rising,16_rising,0,2.34
17/04/2017,5,16,rising,16_rising,3,1.65
17/04/2017,6,16,rising,16_rising,0,0.83
18/04/2017,1,16,low,16_low,54,3.26
18/04/2017,2,16,low,16_low,186,3.49
18/04/2017,3,16,low,16_low,0,4.47
18/04/2017,4,16,low,16_low,0,2.34
18/04/2017,5,16,low,16_low,6,1.65
18/04/2017,6,16,low,16_low,0,0.83
24/04/2017,1,17,low,17_low,26,3.26
24/04/2017,2,17,low,17_low,145,3.49
24/04/2017,3,17,low,17_low,2,4.47
24/04/2017,4,17,low,17_low,2,2.34
24/04/2017,5,17,low,17_low,9,1.65
24/04/2017,6,17,low,17_low,3,0.83
26/04/2017,1,17,rising,17_rising,37,3.26
26/04/2017,2,17,rising,17_rising,132,3.49
26/04/2017,3,17,rising,17_rising,27,4.47
26/04/2017,4,17,rising,17_rising,4,2.34
26/04/2017,5,17,rising,17_rising,0,1.65
26/04/2017,6,17,rising,17_rising,2,0.83
03/05/2017,1,18,rising,18_rising,178,3.26
03/05/2017,1,18,low,18_low,92,3.26
03/05/2017,2,18,rising,18_rising,60,3.49
03/05/2017,2,18,low,18_low,83,3.49
03/05/2017,3,18,rising,18_rising,76,4.47
03/05/2017,3,18,low,18_low,2,4.47
03/05/2017,4,18,rising,18_rising,16,2.34
03/05/2017,4,18,low,18_low,6,2.34
03/05/2017,5,18,rising,18_rising,20,1.65
03/05/2017,5,18,low,18_low,30,1.65
03/05/2017,6,18,rising,18_rising,2,0.83
03/05/2017,6,18,low,18_low,2,0.83
08/05/2017,1,19,low,19_low,24,3.26
08/05/2017,1,19,rising,19_rising,22,3.26
08/05/2017,2,19,low,19_low,91,3.49
08/05/2017,2,19,rising,19_rising,63,3.49
08/05/2017,3,19,low,19_low,134,4.47
08/05/2017,3,19,rising,19_rising,130,4.47
08/05/2017,4,19,low,19_low,68,2.34
08/05/2017,4,19,rising,19_rising,65,2.34
08/05/2017,5,19,low,19_low,4,1.65
08/05/2017,5,19,rising,19_rising,0,1.65
08/05/2017,6,19,low,19_low,6,0.83
08/05/2017,6,19,rising,19_rising,0,0.83
15/05/2017,1,20,low,20_low,155,3.26
15/05/2017,1,20,rising,20_rising,214,3.26
15/05/2017,2,20,low,20_low,136,3.49
15/05/2017,2,20,rising,20_rising,66,3.49
15/05/2017,3,20,low,20_low,39,4.47
15/05/2017,3,20,rising,20_rising,63,4.47
15/05/2017,4,20,low,20_low,50,2.34
15/05/2017,4,20,rising,20_rising,15,2.34
15/05/2017,5,20,low,20_low,0,1.65
15/05/2017,5,20,rising,20_rising,1,1.65
15/05/2017,6,20,low,20_low,4,0.83
15/05/2017,6,20,rising,20_rising,2,0.83
23/05/2017,1,21,rising,21_rising,26,3.26
23/05/2017,2,21,rising,21_rising,279,3.49
23/05/2017,3,21,rising,21_rising,74,4.47
23/05/2017,4,21,rising,21_rising,84,2.34
23/05/2017,5,21,rising,21_rising,0,1.65
23/05/2017,6,21,rising,21_rising,4,0.83
24/05/2017,1,21,low,21_low,23,3.26
24/05/2017,2,21,low,21_low,317,3.49
24/05/2017,3,21,low,21_low,17,4.47
24/05/2017,4,21,low,21_low,115,2.34
24/05/2017,5,21,low,21_low,0,1.65
24/05/2017,6,21,low,21_low,3,0.83
31/05/2017,1,22,rising,22_rising,25,3.26
31/05/2017,1,22,low,22_low,23,3.26
31/05/2017,2,22,rising,22_rising,217,3.49
31/05/2017,2,22,low,22_low,367,3.49
31/05/2017,3,22,rising,22_rising,108,4.47
31/05/2017,3,22,low,22_low,20,4.47
31/05/2017,4,22,rising,22_rising,73,2.34
31/05/2017,4,22,low,22_low,132,2.34
31/05/2017,5,22,rising,22_rising,0,1.65
31/05/2017,5,22,low,22_low,4,1.65
31/05/2017,6,22,rising,22_rising,0,0.83
31/05/2017,6,22,low,22_low,5,0.83
05/06/2017,1,23,rising,23_rising,38,3.26
05/06/2017,2,23,rising,23_rising,364,3.49
05/06/2017,3,23,rising,23_rising,43,4.47
05/06/2017,4,23,rising,23_rising,54,2.34
05/06/2017,5,23,rising,23_rising,2,1.65
05/06/2017,6,23,rising,23_rising,2,0.83
07/06/2017,1,23,low,23_low,63,3.26
07/06/2017,2,23,low,23_low,339,3.49
07/06/2017,3,23,low,23_low,120,4.47
07/06/2017,4,23,low,23_low,17,2.34
07/06/2017,5,23,low,23_low,2,1.65
07/06/2017,6,23,low,23_low,4,0.83
12/06/2017,1,24,rising,24_rising,100,3.26
12/06/2017,1,24,low,24_low,64,3.26
12/06/2017,2,24,rising,24_rising,396,3.49
12/06/2017,2,24,low,24_low,526,3.49
12/06/2017,3,24,rising,24_rising,43,4.47
12/06/2017,3,24,low,24_low,42,4.47
12/06/2017,4,24,rising,24_rising,10,2.34
12/06/2017,4,24,low,24_low,83,2.34
12/06/2017,5,24,rising,24_rising,0,1.65
12/06/2017,5,24,low,24_low,0,1.65
12/06/2017,6,24,rising,24_rising,4,0.83
12/06/2017,6,24,low,24_low,3,0.83
19/06/2017,1,25,rising,25_rising,60,3.26
19/06/2017,2,25,rising,25_rising,500,3.49
19/06/2017,3,25,rising,25_rising,220,4.47
19/06/2017,4,25,rising,25_rising,222,2.34
19/06/2017,5,25,rising,25_rising,0,1.65
19/06/2017,6,25,rising,25_rising,2,0.83
21/06/2017,1,25,low,25_low,6,3.26
21/06/2017,2,25,low,25_low,519,3.49
21/06/2017,3,25,low,25_low,14,4.47
21/06/2017,4,25,low,25_low,348,2.34
21/06/2017,5,25,low,25_low,7,1.65
21/06/2017,6,25,low,25_low,5,0.83
26/06/2017,1,26,low,26_low,4,3.26
26/06/2017,1,26,rising,26_rising,0,3.26
26/06/2017,2,26,low,26_low,449,3.49
26/06/2017,2,26,rising,26_rising,354,3.49
26/06/2017,3,26,low,26_low,321,4.47
26/06/2017,3,26,rising,26_rising,403,4.47
26/06/2017,4,26,low,26_low,585,2.34
26/06/2017,4,26,rising,26_rising,221,2.34
26/06/2017,5,26,low,26_low,9,1.65
26/06/2017,5,26,rising,26_rising,61,1.65
26/06/2017,6,26,low,26_low,0,0.83
26/06/2017,6,26,rising,26_rising,0,0.83
06/07/2017,1,27,low,27_low,0,3.26
06/07/2017,2,27,low,27_low,1217,3.49
06/07/2017,3,27,low,27_low,33,4.47
06/07/2017,4,27,low,27_low,21,2.34
06/07/2017,5,27,low,27_low,2,1.65
06/07/2017,6,27,low,27_low,0,0.83
07/07/2017,1,27,rising,27_rising,0,3.26
07/07/2017,2,27,rising,27_rising,758,3.49
07/07/2017,3,27,rising,27_rising,77,4.47
07/07/2017,4,27,rising,27_rising,49,2.34
07/07/2017,5,27,rising,27_rising,2,1.65
07/07/2017,6,27,rising,27_rising,0,0.83
10/07/2017,1,28,low,28_low,0,3.26
10/07/2017,1,28,rising,28_rising,16,3.26
10/07/2017,2,28,low,28_low,619,3.49
10/07/2017,2,28,rising,28_rising,574,3.49
10/07/2017,3,28,low,28_low,4,4.47
10/07/2017,3,28,rising,28_rising,118,4.47
10/07/2017,4,28,low,28_low,225,2.34
10/07/2017,4,28,rising,28_rising,3,2.34
10/07/2017,5,28,low,28_low,2,1.65
10/07/2017,5,28,rising,28_rising,0,1.65
10/07/2017,6,28,low,28_low,0,0.83
10/07/2017,6,28,rising,28_rising,0,0.83
17/07/2017,1,29,rising,29_rising,0,3.26
17/07/2017,2,29,rising,29_rising,415,3.49
17/07/2017,3,29,rising,29_rising,119,4.47
17/07/2017,4,29,rising,29_rising,130,2.34
17/07/2017,5,29,rising,29_rising,0,1.65
17/07/2017,6,29,rising,29_rising,0,0.83
19/07/2017,1,29,low,29_low,5,3.26
19/07/2017,2,29,low,29_low,204,3.49
19/07/2017,3,29,low,29_low,2,4.47
19/07/2017,4,29,low,29_low,377,2.34
19/07/2017,5,29,low,29_low,0,1.65
19/07/2017,6,29,low,29_low,0,0.83
24/07/2017,1,30,low,30_low,1,3.26
24/07/2017,1,30,rising,30_rising,0,3.26
24/07/2017,2,30,low,30_low,91,3.49
24/07/2017,2,30,rising,30_rising,326,3.49
24/07/2017,3,30,low,30_low,2,4.47
24/07/2017,3,30,rising,30_rising,92,4.47
24/07/2017,4,30,low,30_low,308,2.34
24/07/2017,4,30,rising,30_rising,1,2.34
24/07/2017,5,30,low,30_low,0,1.65
24/07/2017,5,30,rising,30_rising,0,1.65
24/07/2017,6,30,low,30_low,0,0.83
24/07/2017,6,30,rising,30_rising,0,0.83
31/07/2017,1,31,rising,31_rising,0,3.26
31/07/2017,2,31,rising,31_rising,139,3.49
31/07/2017,3,31,rising,31_rising,0,4.47
31/07/2017,4,31,rising,31_rising,375,2.34
31/07/2017,5,31,rising,31_rising,0,1.65
31/07/2017,6,31,rising,31_rising,0,0.83
02/08/2017,1,31,low,31_low,1,3.26
02/08/2017,2,31,low,31_low,68,3.49
02/08/2017,3,31,low,31_low,19,4.47
02/08/2017,4,31,low,31_low,228,2.34
02/08/2017,5,31,low,31_low,1,1.65
02/08/2017,6,31,low,31_low,0,0.83
06/08/2017,1,32,low,32_low,0,3.26
06/08/2017,2,32,low,32_low,74,3.49
06/08/2017,3,32,low,32_low,6,4.47
06/08/2017,4,32,low,32_low,538,2.34
06/08/2017,5,32,low,32_low,0,1.65
06/08/2017,6,32,low,32_low,0,0.83
07/08/2017,1,32,rising,32_rising,1,3.26
07/08/2017,2,32,rising,32_rising,189,3.49
07/08/2017,3,32,rising,32_rising,68,4.47
07/08/2017,4,32,rising,32_rising,265,2.34
07/08/2017,5,32,rising,32_rising,0,1.65
07/08/2017,6,32,rising,32_rising,1,0.83
30/08/2017,1,35,rising,35_rising,0,3.26
30/08/2017,1,35,low,35_low,0,3.26
30/08/2017,2,35,rising,35_rising,291,3.49
30/08/2017,2,35,low,35_low,416,3.49
30/08/2017,3,35,rising,35_rising,69,4.47
30/08/2017,3,35,low,35_low,5,4.47
30/08/2017,4,35,rising,35_rising,0,2.34
30/08/2017,4,35,low,35_low,6,2.34
30/08/2017,5,35,rising,35_rising,0,1.65
30/08/2017,5,35,low,35_low,0,1.65
30/08/2017,6,35,rising,35_rising,0,0.83
30/08/2017,6,35,low,35_low,0,0.83
04/09/2017,1,36,low,36_low,0,3.26
04/09/2017,2,36,low,36_low,348,3.49
04/09/2017,3,36,low,36_low,12,4.47
04/09/2017,4,36,low,36_low,12,2.34
04/09/2017,5,36,low,36_low,0,1.65
04/09/2017,6,36,low,36_low,0,0.83
06/09/2017,1,36,rising,36_rising,0,3.26
06/09/2017,2,36,rising,36_rising,520,3.49
06/09/2017,3,36,rising,36_rising,0,4.47
06/09/2017,4,36,rising,36_rising,0,2.34
06/09/2017,5,36,rising,36_rising,0,1.65
06/09/2017,6,36,rising,36_rising,0,0.83
11/09/2017,1,37,low,37_low,0,3.26
11/09/2017,2,37,low,37_low,774,3.49
11/09/2017,3,37,low,37_low,0,4.47
11/09/2017,4,37,low,37_low,0,2.34
11/09/2017,5,37,low,37_low,0,1.65
11/09/2017,6,37,low,37_low,0,0.83
12/09/2017,1,37,rising,37_rising,0,3.26
12/09/2017,2,37,rising,37_rising,512,3.49
12/09/2017,3,37,rising,37_rising,9,4.47
12/09/2017,4,37,rising,37_rising,9,2.34
12/09/2017,5,37,rising,37_rising,0,1.65
12/09/2017,6,37,rising,37_rising,0,0.83
18/09/2017,1,38,rising,38_rising,14,3.26
18/09/2017,2,38,rising,38_rising,461,3.49
18/09/2017,3,38,rising,38_rising,14,4.47
18/09/2017,4,38,rising,38_rising,0,2.34
18/09/2017,5,38,rising,38_rising,0,1.65
18/09/2017,6,38,rising,38_rising,0,0.83
19/09/2017,1,38,low,38_low,0,3.26
19/09/2017,2,38,low,38_low,342,3.49
19/09/2017,3,38,low,38_low,0,4.47
19/09/2017,4,38,low,38_low,0,2.34
19/09/2017,5,38,low,38_low,0,1.65
19/09/2017,6,38,low,38_low,0,0.83
25/09/2017,1,39,low,39_low,10,3.26
25/09/2017,2,39,low,39_low,305,3.49
25/09/2017,3,39,low,39_low,0,4.47
25/09/2017,4,39,low,39_low,0,2.34
25/09/2017,5,39,low,39_low,0,1.65
25/09/2017,6,39,low,39_low,0,0.83
26/09/2017,1,39,rising,39_rising,0,3.26
26/09/2017,2,39,rising,39_rising,229,3.49
26/09/2017,3,39,rising,39_rising,0,4.47
26/09/2017,4,39,rising,39_rising,0,2.34
26/09/2017,5,39,rising,39_rising,0,1.65
26/09/2017,6,39,rising,39_rising,0,0.83
02/10/2017,1,40,rising,40_rising,15,3.26
02/10/2017,1,40,low,40_low,0,3.26
02/10/2017,2,40,rising,40_rising,184,3.49
02/10/2017,2,40,low,40_low,226,3.49
02/10/2017,3,40,rising,40_rising,0,4.47
02/10/2017,3,40,low,40_low,0,4.47
02/10/2017,4,40,rising,40_rising,0,2.34
02/10/2017,4,40,low,40_low,0,2.34
02/10/2017,5,40,rising,40_rising,0,1.65
02/10/2017,5,40,low,40_low,0,1.65
02/10/2017,6,40,rising,40_rising,0,0.83
02/10/2017,6,40,low,40_low,0,0.83
09/10/2017,1,41,low,41_low,22,3.26
09/10/2017,2,41,low,41_low,389,3.49
09/10/2017,3,41,low,41_low,0,4.47
09/10/2017,4,41,low,41_low,0,2.34
09/10/2017,5,41,low,41_low,0,1.65
09/10/2017,6,41,low,41_low,0,0.83
11/10/2017,1,41,rising,41_rising,0,3.26
11/10/2017,2,41,rising,41_rising,361,3.49
11/10/2017,3,41,rising,41_rising,0,4.47
11/10/2017,4,41,rising,41_rising,0,2.34
11/10/2017,5,41,rising,41_rising,0,1.65
11/10/2017,6,41,rising,41_rising,0,0.83
16/10/2017,1,42,low,42_low,0,3.26
16/10/2017,2,42,low,42_low,246,3.49
16/10/2017,3,42,low,42_low,1,4.47
16/10/2017,4,42,low,42_low,1,2.34
16/10/2017,5,42,low,42_low,0,1.65
16/10/2017,6,42,low,42_low,0,0.83
17/10/2017,1,42,rising,42_rising,21,3.26
17/10/2017,2,42,rising,42_rising,193,3.49
17/10/2017,3,42,rising,42_rising,0,4.47
17/10/2017,4,42,rising,42_rising,0,2.34
17/10/2017,5,42,rising,42_rising,0,1.65
17/10/2017,6,42,rising,42_rising,0,0.83
23/10/2017,1,43,low,43_low,0,3.26
23/10/2017,2,43,low,43_low,183,3.49
23/10/2017,3,43,low,43_low,0,4.47
23/10/2017,4,43,low,43_low,0,2.34
23/10/2017,5,43,low,43_low,0,1.65
23/10/2017,6,43,low,43_low,0,0.83
25/10/2017,1,43,rising,43_rising,7,3.26
25/10/2017,2,43,rising,43_rising,93,3.49
25/10/2017,3,43,rising,43_rising,0,4.47
25/10/2017,4,43,rising,43_rising,0,2.34
25/10/2017,5,43,rising,43_rising,0,1.65
25/10/2017,6,43,rising,43_rising,0,0.83
